transaction_id,account_number,transaction_date,amount,transaction_type,merchant_category,is_flagged
1,ACC-619906,2026-02-16 15:43:18,9504.18,EFT,Retail,0
2,ACC-319690,2026-02-16 15:43:18,1632.88,EFT,Retail,0
3,ACC-937754,2026-02-16 15:43:18,4017.71,EFT,Retail,0
4,ACC-888749,2026-02-16 15:43:18,7329.21,EFT,Retail,0
5,ACC-980599,2026-02-16 15:43:18,7858.92,EFT,Retail,1
6,ACC-651680,2026-02-16 15:43:18,825.0,EFT,Retail,0
7,ACC-658287,2026-02-16 15:43:18,3809.04,EFT,Retail,0
8,ACC-167585,2026-02-16 15:43:18,2447.93,EFT,Retail,1
9,ACC-333113,2026-02-16 15:43:18,2990.41,EFT,Retail,0
10,ACC-724297,2026-02-16 15:43:18,3138.47,EFT,Retail,0
11,ACC-549705,2026-02-16 15:43:18,336.34,EFT,Retail,0
12,ACC-320378,2026-02-16 15:43:18,2168.65,EFT,Retail,0
13,ACC-188249,2026-02-16 15:43:18,4410.87,EFT,Retail,0
14,ACC-309768,2026-02-16 15:43:18,4315.81,EFT,Retail,0
15,ACC-998767,2026-02-16 15:43:18,6171.29,EFT,Retail,0
16,ACC-637641,2026-02-16 15:43:18,7176.39,EFT,Retail,0
17,ACC-844628,2026-02-16 15:43:18,7486.56,EFT,Retail,0
18,ACC-153964,2026-02-16 15:43:18,5162.43,EFT,Retail,0
19,ACC-512152,2026-02-16 15:43:18,857.32,EFT,Retail,0
20,ACC-115194,2026-02-16 15:43:18,9199.66,EFT,Retail,0
21,ACC-987419,2026-02-16 15:43:18,2825.57,EFT,Retail,0
22,ACC-483336,2026-02-16 15:43:18,7654.85,EFT,Retail,0
23,ACC-506567,2026-02-16 15:43:18,6097.91,EFT,Retail,0
24,ACC-675337,2026-02-16 15:43:18,1151.37,EFT,Retail,0
25,ACC-949661,2026-02-16 15:43:18,7466.55,EFT,Retail,0
26,ACC-338841,2026-02-16 15:43:18,6236.9,EFT,Retail,0
27,ACC-766442,2026-02-16 15:43:18,7355.22,EFT,Retail,0
